Title,Overview,Release Date,Vote Average,Vote Count,Runtime,Budget,Revenue,Popularity,Production Countries,Production Companies,Genres
The Call of the Wild,"Buck is a big-hearted dog whose blissful domestic life is turned upside down when he is suddenly uprooted from his California home and transplanted to the exotic wilds of the Yukon during the Gold Rush of the 1890s. As the newest rookie on a mail delivery dog sled team—and later its leader—Buck experiences the adventure of a lifetime, ultimately finding his true place in the world and becoming his own master.",2020-02-19,7.571,3411,100,109000000,111202881,35.954,"['Canada', 'United States of America']","['3 Arts Entertainment', '20th Century Studios', 'TSG Entertainment', 'Halon Entertainment']","['Adventure', 'Family', 'Drama']"
Dolittle,"After losing his wife seven years earlier, the eccentric Dr. John Dolittle, famed doctor and veterinarian of Queen Victoria’s England, hermits himself away behind the high walls of Dolittle Manor with only his menagerie of exotic animals for company. But when the young queen falls gravely ill, a reluctant Dolittle is forced to set sail on an epic adventure to a mythical island in search of a cure, regaining his wit and courage as he crosses old adversaries and discovers wondrous creatures.",2020-01-02,6.637,3399,101,175000000,251410631,30.099,"['Japan', 'United States of America']","['Universal Pictures', 'Team Downey', 'Perfect World Pictures', 'Roth-Kirschenbaum Films', 'dentsu']","['Family', 'Fantasy', 'Adventure']"
The New Mutants,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",2020-04-02,6.1,3111,94,67000000,49169594,27.751,['United States of America'],"['20th Century Studios', 'Genre Films', 'Sunswept Entertainment']","['Science Fiction', 'Horror', 'Action', 'Mystery', 'Adventure']"
The Devil All the Time,"In Knockemstiff, Ohio and its neighboring backwoods, sinister characters converge around young Arvin Russell as he fights the evil forces that threaten him and his family.",2020-09-11,7.219,3038,138,0,0,23.996,['United States of America'],"['Nine Stories Productions', 'BorderLine Films', 'Bronx Moving Co.']","['Crime', 'Drama', 'Thriller']"
The Hunt,"Twelve strangers wake up in a clearing. They don't know where they are—or how they got there. In the shadow of a dark internet conspiracy theory, ruthless elitists gather at a remote location to hunt humans for sport. But their master plan is about to be derailed when one of the hunted turns the tables on her pursuers.",2020-03-11,6.653,2872,90,14000000,10550350,23.571,"['Japan', 'United States of America']","['Blumhouse Productions', 'dentsu', 'White Rabbit Productions', 'Universal Pictures']","['Action', 'Thriller', 'Horror']"
Underwater,"After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time.",2020-01-08,6.298,2816,95,50000000,40882928,29.112,['United States of America'],"['Chernin Entertainment', '20th Century Fox', 'TSG Entertainment']","['Horror', 'Science Fiction', 'Action', 'Adventure']"
Promising Young Woman,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",2020-12-13,7.457,2791,114,0,13868965,32.73,['United States of America'],"['LuckyChap Entertainment', 'FilmNation Entertainment']","['Thriller', 'Crime', 'Drama']"
The Father,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",2020-12-23,8.2,2786,96,6000000,21029340,25.096,"['France', 'United Kingdom', 'United States of America']","['Trademark Films', 'F Comme Film', 'Ciné-@', 'Embankment Films', 'Film4 Productions', 'Canal+', 'Ciné+', 'Orange Studio', 'Les Films du Cru', 'AG Studios NYC', 'Simon Friend Entertainment', 'Viewfinder', 'CAA Media Finance', 'Sony Pictures Classics']",['Drama']
The Trial of the Chicago 7,What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.,2020-09-25,7.727,2771,130,35000000,107423,15.748,['United States of America'],"['DreamWorks Pictures', 'Marc Platt Productions']","['Drama', 'History']"
The SpongeBob Movie: Sponge on the Run,"When his best friend Gary is suddenly snatched away, SpongeBob takes Patrick on a madcap mission far beyond Bikini Bottom to save their pink-shelled pal.",2020-08-14,7.509,2713,95,60000000,4700000,54.711,"['France', 'United States of America']","['United Plankton Pictures', 'Nickelodeon Movies', 'Paramount Animation', 'Paramount', 'MRC', 'Mikros Image']","['Family', 'Animation', 'Fantasy', 'Adventure', 'Comedy']"
All the Bright Places,Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.,2020-02-28,7.672,2698,108,0,0,21.015,['United States of America'],"['Echo Lake Entertainment', 'Mazur / Kaplan Company']","['Romance', 'Drama']"
Palm Springs,"When carefree Nyles and reluctant maid of honor Sarah have a chance encounter at a Palm Springs wedding, things get complicated when they find themselves unable to escape the venue, themselves, or each other.",2020-07-10,7.339,2687,90,5000000,164000,21.906,['United States of America'],"['Limelight', 'The Lonely Island']","['Comedy', 'Romance', 'Science Fiction']"
Project Power,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",2020-08-14,6.481,2635,113,0,0,17.763,['United States of America'],"['Screen Arcade', 'Supermarché']","['Action', 'Crime', 'Science Fiction']"
Roald Dahl's The Witches,"In late 1967, a young orphaned boy goes to live with his loving grandma in the rural Alabama town of Demopolis. As the boy and his grandmother encounter some deceptively glamorous but thoroughly diabolical witches, she wisely whisks him away to a seaside resort. Regrettably, they arrive at precisely the same time that the world's Grand High Witch has gathered.",2020-10-26,6.398,2586,106,0,29303571,49.513,"['Mexico', 'United States of America']","['ImageMovers', 'Warner Bros. Pictures', 'Double Dare You Productions', 'Necropia Entertainment', 'Esperanto Filmoj']","['Family', 'Comedy', 'Fantasy', 'Horror']"
Greyhound,"A first-time captain leads a convoy of allied ships carrying thousands of soldiers across the treacherous waters of the “Black Pit” to the front lines of WW2. With no air cover protection for 5 days, the captain and his convoy must battle the surrounding enemy Nazi U-boats in order to give the allies a chance to win the war.",2020-07-10,7.4,2573,91,50300000,0,24.163,"['Canada', 'China', 'United States of America']","['Playtone', 'Bron Studios', 'FilmNation Entertainment', 'Sycamore Pictures', 'Zhengfu Pictures', 'Sony Pictures', 'Stage 6 Films']","['War', 'Action', 'Drama']"
To All the Boys: P.S. I Still Love You,Lara Jean and Peter have just taken their romance from pretend to officially real when another recipient of one of her love letters enters the picture.,2020-02-12,6.87,2403,102,0,0,25.221,['United States of America'],"['Awesomeness Films', 'ACE Entertainment']","['Romance', 'Comedy']"
Gabriel's Inferno,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",2020-05-29,8.445,2365,122,0,0,11.844,['United States of America'],['PassionFlix'],"['Romance', 'Drama']"
Ava,A black ops assassin is forced to fight for her own survival after a job goes dangerously wrong.,2020-07-02,5.792,2343,96,0,2987741,31.816,['United States of America'],"['Freckle Films', 'Voltage Pictures', 'Vertical Entertainment']","['Action', 'Thriller', 'Crime']"
Borat Subsequent Moviefilm,"14 years after making a film about his journey across the USA, Borat risks life and limb when he returns to the United States with his young daughter, and reveals more about the culture, the COVID-19 pandemic, and the political elections.",2020-10-23,6.5,2275,96,0,0,19.162,['United States of America'],"['Amazon Studios', 'Four by Two Films', 'Oak Springs Productions']",['Comedy']
Sound of Metal,"Metal drummer Ruben begins to lose his hearing. When a doctor tells him his condition will worsen, he thinks his career and life is over. His girlfriend Lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. After being welcomed and accepted just as he is, Ruben must choose between his new normal and the life he once knew.",2020-11-20,7.74,2262,121,0,516520,13.389,['United States of America'],"['Flat 7', 'Ward Four', 'Caviar']","['Drama', 'Music']"
Fantasy Island,"A group of contest winners arrive at an island hotel to live out their dreams, only to find themselves trapped in nightmare scenarios.",2020-02-12,5.844,2247,109,7000000,49447308,16.386,['United States of America'],"['Blumhouse Productions', 'Columbia Pictures', 'Tower of Babble']","['Horror', 'Fantasy', 'Adventure', 'Mystery']"
Run,"Chloe, a teenager who is confined to a wheelchair, is homeschooled by her mother, Diane. Chloe soon becomes suspicious of her mother and begins to suspect that she may be harboring a dark secret.",2020-11-20,7.336,2242,90,1700000,5184368,23.002,['United States of America'],['Search Party'],"['Thriller', 'Horror', 'Drama']"
Spenser Confidential,"Spenser, a former Boston patrolman who just got out from prison, teams up with Hawk, an aspiring fighter, to unravel the truth behind the death of two police officers.",2020-03-06,6.532,2108,110,0,0,17.992,['United States of America'],"['Film 44', 'Original Film', 'Closest to the Hole Productions', 'Leverage Entertainment']","['Comedy', 'Action', 'Thriller']"
Guns Akimbo,"An ordinary guy suddenly finds himself forced to fight a gladiator-like battle for a dark website that streams the violence for viewers. In order to survive and rescue his kidnapped ex-girlfriend, he must battle Nix, a heavily armed and much more experienced fighter.",2020-02-27,6.5,2060,95,0,835102,20.741,"['Belgium', 'Germany', 'New Zealand', 'United Kingdom', 'United States of America']","['Altitude Film Entertainment', 'Four Knights Film', 'Hyperion Media Group', 'Ingenious Media', 'Maze Pictures', 'Pump Metal Films', 'The Electric Shadow Company', 'Saban Films', 'New Zealand Film Commission', 'uMedia', 'Occupant Entertainment', 'Cutting Edge', 'Deutscher Filmförderfonds', 'FFF Bayern', 'WS Filmproduktion']","['Action', 'Comedy']"
Unhinged,A divorced mother honks impatiently at a deranged middle-aged stranger at a red light while running late on her way to work. His road rage escalates to horrifyingly psychotic proportions as he becomes single-mindedly determined to teach her a deadly lesson for provoking him.,2020-07-16,6.467,2018,90,33000000,39238300,32.137,"['United States of America', 'United Kingdom']","['Solstice Productions', 'Burek Films', 'Ingenious Media', 'Altitude Film Entertainment']","['Action', 'Thriller']"
Holidate,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",2020-10-27,7.053,1970,104,0,0,16.381,['United States of America'],['Wonderland Sound and Vision'],"['Comedy', 'Romance']"
Trolls World Tour,"Queen Poppy and Branch make a surprising discovery — there are other Troll worlds beyond their own, and their distinct differences create big clashes between these various tribes. When a mysterious threat puts all of the Trolls across the land in danger, Poppy, Branch, and their band of friends must embark on an epic quest to create harmony among the feuding Trolls to unite them against certain doom.",2020-03-11,7.35,1923,90,90000000,49276818,40.183,['United States of America'],"['DreamWorks Animation', 'Universal Pictures', 'dentsu']","['Family', 'Animation', 'Comedy', 'Fantasy', 'Adventure', 'Music']"
I'm Thinking of Ending Things,Nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm.,2020-08-28,6.579,1725,135,0,0,18.272,['United States of America'],"['Likely Story', 'Projective Testing Service']","['Drama', 'Fantasy', 'Mystery', 'Thriller']"
The Midnight Sky,A lone scientist in the Arctic races to contact a crew of astronauts returning home to a mysterious global catastrophe.,2020-12-10,5.765,1665,118,0,70018,18.67,['United States of America'],"['Smoke House Pictures', 'Syndicate Films', 'Anonymous Content', 'Truenorth Productions']","['Science Fiction', 'Drama']"
News of the World,"A Texan traveling across the wild West bringing the news of the world to local townspeople, agrees to help rescue a young girl who was kidnapped.",2020-12-25,6.989,1582,118,38000000,12668325,14.595,['United States of America'],"['Playtone', 'Pretty Pictures', 'Universal Pictures', 'Perfect World Pictures']","['Drama', 'Western', 'Adventure']"
Scoob!,"In Scooby-Doo’s greatest adventure yet, see the never-before told story of how lifelong friends Scooby and Shaggy first met and how they joined forces with young detectives Fred, Velma, and Daphne to form the famous Mystery Inc. Now, with hundreds of cases solved, Scooby and the gang face their biggest, toughest mystery ever: an evil plot to unleash the ghost dog Cerberus upon the world. As they race to stop this global “dogpocalypse,” the gang discovers that Scooby has a secret legacy and an epic destiny greater than anyone ever imagined.",2020-07-08,7.111,1577,93,90000000,28588425,28.301,['United States of America'],"['Warner Bros. Pictures Animation', 'Warner Bros. Pictures']","['Animation', 'Comedy', 'Family', 'Mystery']"
Honest Thief,"A bank robber tries to turn himself in because he's falling in love and wants to live an honest life...but when he realizes the Feds are more corrupt than him, he must fight back to clear his name.",2020-09-03,6.526,1560,99,0,31220247,28.152,"['United Kingdom', 'United States of America']","['The Solution', 'Dreadnought Films', 'Zero Gravity Management', 'Argonaut Entertainment Partners', 'Honest Thief Productions', 'Ingenious Media', 'J Cubed Film Finance', 'Samuel Marshall Productions', 'Sprockefeller Pictures']","['Thriller', 'Action', 'Crime', 'Drama']"
Life in a Year,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",2020-11-27,8.29,1557,107,0,0,32.959,['United States of America'],['Overbrook Entertainment'],"['Drama', 'Romance']"
Artemis Fowl,Artemis Fowl is a 12-year-old genius and descendant of a long line of criminal masterminds. He soon finds himself in an epic battle against a race of powerful underground fairies who may be behind his father's disappearance.,2020-06-12,5.608,1538,94,125000000,0,23.302,['United States of America'],"['Tribeca Productions', 'Walt Disney Pictures', 'TKBC']","['Adventure', 'Fantasy', 'Science Fiction', 'Family', 'Action']"
Hubie Halloween,"Hubie Dubois, despite his devotion to his hometown of Salem, Massachusetts (and its legendary Halloween celebration), is a figure of mockery for kids and adults alike. But this year, something really is going bump in the night, and it’s up to Hubie to save Halloween.",2020-10-07,5.956,1457,103,14000000,0,26.39,['United States of America'],['Happy Madison Productions'],"['Comedy', 'Mystery', 'Horror']"
Mank,1930s Hollywood is reevaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane.,2020-11-13,6.733,1454,132,25000000,122252,14.562,['United States of America'],['Netflix International Pictures'],"['Drama', 'History']"
The Babysitter: Killer Queen,"Two years after defeating a satanic cult led by his babysitter Bee, Cole's trying to forget his past and focus on surviving high school. But when old enemies unexpectedly return, Cole will once again have to outsmart the forces of evil.",2020-09-10,6.375,1448,101,0,0,19.865,['United States of America'],"['Wonderland Sound and Vision', 'Boies/Schiller Film Group']","['Comedy', 'Horror']"
The Social Dilemma,"This documentary-drama hybrid explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.",2020-01-26,7.491,1433,94,0,0,17.826,['United States of America'],"['Exposure Labs', 'Argent Pictures', 'The Space Program']","['Documentary', 'Drama']"
Freaky,"A mystical, ancient dagger causes a notorious serial killer to magically switch bodies with a 17-year-old girl.",2020-11-12,6.573,1412,102,5000000,15104310,22.128,['United States of America'],"['Universal Pictures', 'Blumhouse Productions', 'Divide / Conquer']","['Comedy', 'Fantasy', 'Horror', 'Thriller']"
The Half of It,"Shy, straight-A student Ellie is hired by sweet but inarticulate jock Paul, who needs help wooing the most popular girl in school. But their new and unlikely friendship gets tricky when Ellie discovers she has feelings for the same girl.",2020-05-01,7.106,1386,104,0,0,11.577,['United States of America'],['Likely Story'],"['Comedy', 'Romance', 'Drama']"
Justice League Dark: Apokolips War,"Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",2020-05-05,8.262,1356,90,0,0,28.739,['United States of America'],"['Warner Bros. Animation', 'DC Entertainment']","['Animation', 'Action', 'Science Fiction']"
Mortal Kombat Legends: Scorpion's Revenge,"After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, he’s given a chance to avenge his family – and is resurrected as Scorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors – Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage – an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsung’s horde of Outworld gladiators and reign over the Mortal Kombat tournament.",2020-04-12,8.145,1288,80,0,0,109.255,['United States of America'],['Warner Bros. Animation'],"['Animation', 'Action', 'Fantasy']"
Eurovision Song Contest: The Story of Fire Saga,"Two small-town aspiring musicians chase their pop star dreams at a global music competition, where high stakes, scheming rivals and onstage mishaps test their bond.",2020-06-26,6.4,1283,123,0,0,18.423,['United States of America'],['Gary Sanchez Productions'],"['Comedy', 'Music']"
Gretel & Hansel,"A long time ago in a distant fairy tale countryside, a young girl leads her little brother into a dark wood in desperate search of food and work, only to stumble upon a nexus of terrifying evil.",2020-01-30,6.0,1281,87,5000000,22304357,22.156,"['Canada', 'Ireland', 'United States of America']","['Automatik Entertainment', 'Bron Studios', 'Creative Wealth Media Finance', 'Orion Pictures', 'Wild Atlantic Pictures']","['Fantasy', 'Horror', 'Mystery']"
Hamilton,"Presenting the tale of American founding father Alexander Hamilton, this filmed version of the original Broadway smash hit is the story of America then, told by America now.",2020-07-03,8.2,1218,160,0,0,17.318,['United States of America'],"['RadicalMedia', '5000 Broadway Productions', 'Nevis Productions', 'Old 320 Sycamore', 'Walt Disney Pictures']","['History', 'Drama']"
Over the Moon,"In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess.",2020-10-16,7.241,1205,100,0,0,21.1,"['China', 'United States of America']","['Pearl Studio', 'Janet Yang Productions', 'Glen Keane Productions']","['Animation', 'Adventure', 'Family', 'Fantasy']"
Brahms: The Boy II,"After a family moves into the Heelshire Mansion, their young son soon makes friends with a life-like doll called Brahms.",2020-02-20,5.984,1152,86,10000000,20311536,19.57,"['Australia', 'Canada', 'China', 'United States of America']","['STX Films', 'Lakeshore Entertainment']","['Horror', 'Mystery', 'Thriller']"
Escape from Pretoria,"South Africa, 1978. Tim Jenkin and Stephen Lee, two white political activists from the African National Congress imprisoned by the apartheid regime, put a plan in motion to escape from the infamous Pretoria Prison.",2020-03-06,7.3,1140,102,0,2431995,21.886,"['Australia', 'Canada', 'South Africa', 'United Kingdom', 'United States of America']","['MEP Capital', 'Momentum Pictures', 'Hamilton Entertainment', 'South Australian Film Corporation', 'Arclight Films', 'Particular Crowd', 'Spier Films', 'Enriched Media Group', 'Premiere Picture', 'Footprint Films', 'Beagle Pug Films']","['Drama', 'History', 'Thriller']"
The Lodge,"When a father is forced to abruptly depart for work, he leaves his children, Aidan and Mia, at their holiday home in the care of his new girlfriend, Grace. Isolated and alone, a blizzard traps them inside the lodge as terrifying events summon specters from Grace's dark past.",2020-01-16,6.106,1120,108,0,2679585,19.914,"['Canada', 'United Kingdom', 'United States of America']","['FilmNation Entertainment', 'Hammer Film Productions']","['Drama', 'Horror', 'Thriller']"
Pieces of a Woman,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",2020-12-30,7.048,1115,127,0,0,17.06,"['Canada', 'Hungary', 'United States of America']","['Bron Studios', 'Little Lamb Productions', 'Creative Wealth Media Finance', 'Proton Cinema', 'Sikelia Productions', 'Post Office Films']",['Drama']
I Still Believe,The true-life story of Christian music star Jeremy Camp and his journey of love and loss that looks to prove there is always hope.,2020-03-12,7.606,1090,115,12000000,16069730,20.707,['United States of America'],['Kevin Downes Productions'],"['Music', 'Drama', 'Romance']"
Work It,A brilliant but clumsy high school senior vows to get into her late father's alma mater by transforming herself and a misfit squad into dance champions.,2020-08-07,7.612,1087,93,0,0,17.421,['United States of America'],"['STX Films', 'Alloy Entertainment', 'AK Worldwide']","['Comedy', 'Music']"
The Wrong Missy,"A guy meets the woman of his dreams and invites her to his company's corporate retreat, but realizes he sent the invite to the wrong person.",2020-05-13,6.149,1079,90,0,0,30.738,['United States of America'],"['QC Entertainment', 'Happy Madison Productions']","['Comedy', 'Romance']"
Ma Rainey's Black Bottom,Tensions rise when the trailblazing Mother of the Blues and her band gather at a Chicago recording studio in 1927. Adapted from August Wilson's play.,2020-11-25,6.678,1075,94,0,0,12.919,['United States of America'],"['Escape Artists', 'Mundy Lane Entertainment']","['Drama', 'Music']"
Chemical Hearts,"When a hopelessly romantic high school senior falls for a mysterious new classmate, it sets them both on an unexpected journey that teaches them about love, loss, and most importantly themselves.",2020-08-21,7.4,1063,93,0,0,18.714,['United States of America'],"['Page Fifty-Four Pictures', 'Awesomeness Films', 'Big Indie Pictures']","['Drama', 'Romance']"
Feel the Beat,"After failing to make it on Broadway, April returns to her hometown and reluctantly begins training a misfit group of young dancers for a competition.",2020-06-19,7.625,1048,107,0,0,27.815,"['Canada', 'United States of America']","['Resonate Entertainment', 'Bitter Boy Productions']","['Comedy', 'Music', 'Drama']"
My Spy,"A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.",2020-01-09,6.874,1039,99,0,4418501,16.223,['United States of America'],"['STX Films', 'MWM Studios']","['Family', 'Action', 'Comedy']"
Happiest Season,A young woman's plans to propose to her girlfriend while at her family's annual holiday party are upended when she discovers her partner hasn't yet come out to her conservative parents.,2020-11-26,7.334,1038,102,0,1401954,19.121,['United States of America'],['Temple Hill Entertainment'],"['Romance', 'Comedy']"
Gabriel's Inferno: Part III,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,2020-11-19,8.404,1026,105,0,0,20.657,['United States of America'],['PassionFlix'],"['Romance', 'Drama']"
Wolfwalkers,"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.",2020-10-26,8.245,1021,103,12000000,1266570,21.87,"['China', 'France', 'Ireland', 'Luxembourg', 'United States of America']","['Cartoon Saloon', 'Melusine Productions', 'Value&Power Culture Communications', 'Film Fund Luxembourg', 'Fís Éireann/Screen Ireland', 'Broadcasting Authority of Ireland', 'Haut et Court', 'Canal+', 'RTÉ', 'OCS', 'Pôle Image Magelis', 'Folivari', 'GKIDS']","['Animation', 'Family', 'Adventure', 'Fantasy']"
The Way Back,"A former basketball all-star, who has lost his wife and family foundation in a struggle with addiction, attempts to regain his soul and salvation by becoming the coach of a disparate ethnically mixed high school basketball team at his alma mater.",2020-03-05,6.618,1012,107,23000000,14590514,11.216,"['United States of America', 'Canada']","['Warner Bros. Pictures', 'Pearl Street Films', 'Mayhem Pictures', 'Bron Studios']",['Drama']
Da 5 Bloods,Four African-American Vietnam veterans return to Vietnam. They are in search of the remains of their fallen squad leader and the promise of buried treasure. These heroes battle forces of humanity and nature while confronted by the lasting ravages of the immorality of the Vietnam War.,2020-06-12,6.531,987,156,45000000,0,15.585,['United States of America'],"['40 Acres and a Mule Filmworks', 'Rahway Road Productions']","['War', 'Drama']"
The Courier,Cold War spy Greville Wynne and his Russian source try to put an end to the Cuban Missile Crisis.,2020-01-24,7.043,964,112,0,26000000,18.867,"['United Kingdom', 'United States of America']","['SunnyMarch', '42', 'FilmNation Entertainment', 'Lionsgate', 'Roadside Attractions']","['Thriller', 'History', 'Drama']"
Clouds,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",2020-10-09,8.293,956,121,0,0,18.349,['United States of America'],"['Warner Bros. Pictures', 'Mad Chance']","['Music', 'Drama', 'Romance']"
The Outpost,"A small unit of U.S. soldiers, alone at the remote Combat Outpost Keating, located deep in the valley of three mountains in Afghanistan, battles to defend against an overwhelming force of Taliban fighters in a coordinated attack. The Battle of Kamdesh, as it was known, was the bloodiest American engagement of the Afghan War in 2009 and Bravo Troop 3-61 CAV became one of the most decorated units of the 19-year conflict.",2020-06-24,6.885,924,123,18000000,2133452,21.293,"['Bulgaria', 'United States of America']","['Millennium Media', 'York Films', 'Perfection Hunter Productions']","['War', 'Drama', 'History', 'Action']"
The Turning,"A young woman quits her teaching job to be a private tutor for two wealthy young kids, but soon starts to suspect there’s more to their house than what meets the eye.",2020-01-23,5.813,904,94,14000000,19428166,15.899,['United States of America'],"['Amblin Entertainment', 'DreamWorks Pictures', 'Universal Pictures', 'Vertigo Entertainment']","['Horror', 'Thriller']"
The Christmas Chronicles: Part Two,"Kate Pierce is reluctantly spending Christmas with her mom’s new boyfriend and his son Jack. But when the North Pole and Christmas are threatened to be destroyed, Kate and Jack are unexpectedly pulled into a new adventure with Santa Claus.",2020-11-18,6.478,901,112,0,0,23.529,['United States of America'],['1492 Pictures'],"['Family', 'Fantasy', 'Adventure', 'Comedy']"
The King of Staten Island,"Scott has been a case of arrested development ever since his firefighter father died when he was seven. He's now reached his mid-20s having achieved little, chasing a dream of becoming a tattoo artist that seems far out of reach. As his ambitious younger sister heads off to college, Scott is still living with his exhausted ER nurse mother and spends his days smoking weed, hanging with the guys — Oscar, Igor and Richie — and secretly hooking up with his childhood friend Kelsey. But when his mother starts dating a loudmouth firefighter named Ray, it sets off a chain of events that will force Scott to grapple with his grief and take his first tentative steps toward moving forward in life.",2020-07-22,7.008,897,137,0,0,10.164,['United States of America'],"['Universal Pictures', 'Apatow Productions', 'Perfect World Pictures']","['Comedy', 'Drama']"
A Fall from Grace,"When a law-abiding woman gets indicted for murdering her husband, her lawyer soon realizes that a larger conspiracy may be at work.",2020-01-17,7.048,868,120,0,0,20.195,['United States of America'],['Tyler Perry Studios'],"['Drama', 'Thriller', 'Mystery']"
Shadow in the Cloud,A WWII pilot traveling with top secret documents on a B-17 Flying Fortress encounters an evil presence on board the flight.,2020-12-31,5.847,848,83,0,1054290,27.011,"['New Zealand', 'United States of America']","['Four Knights Film', 'Rhea Films', 'Automatik Entertainment', 'Endeavor Content', 'Hercules Film Fund', 'New Zealand Film Commission']","['Horror', 'Action', 'War']"
The War with Grandpa,"Peter is thrilled that his Grandpa is coming to live with his family. That is, until Grandpa moves into Peter's room, forcing him upstairs into the creepy attic. And though he loves his Grandpa, he wants his room back - so he has no choice but to declare war.",2020-08-27,6.417,846,98,18000000,43387445,26.33,['United States of America'],"['Marro Films', 'EFO Films', 'Tri G', 'West Madison Entertainment']","['Comedy', 'Family']"
Antebellum,Successful author Veronica finds herself trapped in a horrifying reality and must uncover the mind-bending mystery before it's too late.,2020-09-02,6.27,830,105,15000000,7060384,22.869,['United States of America'],"['Lionsgate', 'QC Entertainment']",['Horror']
Dangerous Lies,"After losing her waitressing job, Katie Franklin takes a job as a caretaker to a wealthy elderly man in his sprawling, empty Chicago estate. The two grow close, but when he unexpectedly passes away and names Katie as his sole heir, she and her husband Adam are pulled into a complex web of lies, deception, and murder. If she's going to survive, Katie will have to question everyone's motives — even the people she loves.",2020-04-30,6.269,820,96,0,0,14.901,"['Canada', 'United States of America']","['Off Camera Entertainment', 'Front Street Pictures']",['Thriller']
Bill & Ted Face the Music,"Yet to fulfil their rock and roll destiny, the now middle-aged best friends Bill and Ted set out on a new adventure when a visitor from the future warns them that only their song can save life as we know it. Along the way, they are helped by their daughters, a new batch of historical figures and a few music legends — to seek the song that will set their world right and bring harmony to the universe.",2020-08-27,5.907,808,91,25000000,6274027,24.95,"['Canada', 'United States of America']","['Endeavor Content', 'Hammerstone Studios', 'Lakeview Entertainment', 'TinRes Entertainment', 'Many Rivers Productions', 'Cittadino/Dugan Entertainment', 'Dial 9', 'Orion Pictures', 'Metro-Goldwyn-Mayer', 'Bloom']","['Comedy', 'Science Fiction', 'Adventure']"
The Princess Switch: Switched Again,"When Duchess Margaret unexpectedly inherits the throne & hits a rough patch with Kevin, it’s up to Stacy to save the day before a new lookalike — party girl Fiona — foils their plans.",2020-11-19,6.884,807,97,10000000,0,15.871,"['United Kingdom', 'United States of America']","['Motion Picture Corporation of America', 'Brad Krevoy Television']","['Family', 'Romance', 'Comedy']"
Hillbilly Elegy,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future.",2020-11-09,6.758,806,117,0,0,14.395,['United States of America'],['Imagine Entertainment'],['Drama']
If Anything Happens I Love You,Grieving parents journey through an emotional void as they mourn the loss of a child in the aftermath of a tragic school shooting.,2020-03-07,7.737,799,12,0,0,10.299,['United States of America'],"['Gilbert Films', 'Oh Good Productions', 'Le Train Train']","['Drama', 'Animation']"
